Código proyecto,Nombre proyecto,Cliente,Industria,Categoría principal,Participantes,Tags,Contraparte,Cargo contraparte,Fecha Inicio,Fecha término,Resumen proyecto,Link,Modificado por,Creado,Modificado,Encargado de proyecto N°1 (Creador Proyecto/Modificador PREZ Antiguo),Encargado de proyecto N°2 (Participante Antiguo),Encargado de proyecto N°3 (Modificador PREZ reciente)
PARIS06,Lanzamiento ciclo V,Paris,Retail,Eficiencia operacional,"[""Magdalena Gálvez"",""Alfonso Undurraga"",""José Miguel Sepúlveda"",""Loredanna Celleri"",""Cristóbal Bär""]","[""Modelo operativo"",""Plan de comunicación"",""Cultura organizacional"",""Derco"",""KPIs"",""Roadmap"",""Dinámica de equipo"",""Eficiencia"",""Focos estratégicos"",""Implementación de sistemas"",""Seguimiento""]",Álvaro Figari,Gerente de Operaciones,15/4/2022,1/6/2022,Continuación de la implementación del modelo de gestión en tiendas para las 25 tiendas restantes (ciclo V). El lanzamiento ampliado se realizó en las oficinas de TheHouse y posteriormente se realizaron lanzamientos presenciales en cada una de las tiendas.,/sites/Proyectos-TheHouse/Documentos compartidos/Paris/PARIS06 - Lanzamiento Ciclo V,Josue Meneses,10/8/2024 11:42 AM,7/30/2026 2:39 PM,,Magdalena Galvez,
PRI03,Habilitación del programa de eficiencia operacional Principal Chile,Principal Financial Group,Servicios financieros,Eficiencia operacional,"[""Cristián Hargous"",""Mariana Hernández"",""Victor Alastuey"",""Josefina Correa"",""Alejandra Loyola""]","[""Benchmark"",""Caso de negocio"",""Alineamiento ejecutivo"",""Eficiencia"",""Implementación de sistemas""]",Andrea Mellado,Subgerente de Eficiencia y Procesos Corporativos,11/1/2017,1/10/2018,"Construcción de un diagnóstico de eficiencia, diferenciado para su negocio de administración de fondos de pensión y administración general de fondos, revisión a detalle del programa corporativo de eficiencia. Se realizó una sesión de alineamiento ejcutivo",/sites/Proyectos-TheHouse/Documentos compartidos/Principal Financial Group/PRI03 - Eficiencia,Josue Meneses,10/8/2024 11:42 AM,7/30/2026 2:19 PM,Mariana  Hernandez Eyquem,Alejandra Loyola Schmidt,
PUC01,"Definición de estructura, roles y gobernanza",Escuela de Administración UC,Educación,Sistema organizacional,"[""Constanza Arjona"",""Alejandra Loyola"",""Vicente Loyola"",""Lisette Lee"",""Isidora Navarro""]","[""Comités"",""Benchmark"",""Descriptor de cargo"",""Ciclo de gobierno"",""Diagnostico"",""Plan de implementación"",""Incentivos"",""Dinámica de equipo"",""Estructura"",""Modelo de gobierno""]",José Tessada,Director Escuela de administración UC,10/6/2019,8/9/2019,"Apoyo en la definición de la estructura, roles y gobernanza. Realizando dos sesiones de trabajo",/sites/Proyectos-TheHouse/Documentos compartidos/Escuela de Administración UC/PUC01 - Estructura y roles esc. adm. uc,Josue Meneses,10/8/2024 11:42 AM,7/23/2026 7:40 AM,,Alejandra Loyola Schmidt,
RDA01,Potenciando la organización para habilitar el crecimiento,Red de Alimentos,Non-profit,Sistema organizacional,"[""Alejandra Loyola"",""Pablo González"",""Joaquín Moncada"",""Bernardita Cisternas"",""Loredanna Celleri""]","[""Diagnostico"",""Seguimiento"",""Alineamiento ejecutivo"",""Cultura organizacional"",""Descriptor de cargo"",""Estructura"",""Iniciativas estratégicas""]",Maria Eugenia Torres,Gerente General,17/6/2021,20/7/2021,"Proyecto non-profit para rediseñar la estructura y preparar al equipo ejecutivo para el crecimiento propuesto al año 2025, considerando comunicaciones y un taller al equipo ejecutivo",/sites/Proyectos-TheHouse/Documentos compartidos/Red de Alimentos/RDA01 - Estructura org,Josue Meneses,10/8/2024 11:42 AM,7/30/2026 2:32 PM,,Alejandra Loyola Schmidt,
SEN01,Planificación estratégica,Senadis,Non-profit,Estrategia,"[""Alejandra Loyola"",""José Miguel Sepúlveda"",""Juan Pablo Arriagada"",""Alfonso Undurraga""]","[""Iniciativas estratégicas"",""Definiciones estratégicas"",""Focos estratégicos"",""Plan de implementación"",""Prioridades estratégicas""]",Verónica Avendaño,Sub directora nacional,14/5/2018,5/7/2018,"Se apoyo en el proceso de definiciones estratégicas del Senadis a través de la definición de focos, prioridades e iniciativas estratégicas, entregando herramientas para realizar seguimiento a las actividades planificadas",/sites/Proyectos-TheHouse/Documentos compartidos/Senadis/SEN01 - Planificación Estratégica,Josue Meneses,10/8/2024 11:42 AM,7/30/2026 2:25 PM,,Alfonso Undurraga Bordeu,Martín Rosenfeld
SQM01,Potenciando la gestión de contratos,SQM,Minería,Eficiencia operacional,"[""José Miguel Sepúlveda"",""Francisco Hamilton"",""Alejandra Loyola"",""Isidora Navarro"",""Lisette Lee"",""Juan Ignacio Castro"",""Alfonso Undurraga""]","[""Automatización"",""Benchmark"",""Capacitación"",""Mapeo de procesos"",""Mejores practicas"",""Diagnostico"",""Eficiencia"",""Implementación de sistemas"",""KPIs"",""LEAN"",""Optimización de procesos"",""Plan de gestión del cambio"",""Plan de implementación"",""Modelo operativo"",""Productividad"",""Propósito"",""Socio estratégico""]",José Miguel Berguño,VP Nitratos Yodo,31/8/2020,15/12/2020,"Potenciar la gestión de contratos operacionales de Nitratos Yodo, optimizando sus procesos, incorporando sistemas y herramientas y capturando potenciales ahorros",/sites/Proyectos-TheHouse/Documentos compartidos/SQM/SQM01 - Pot. gestión de contratos,Josue Meneses,10/8/2024 11:42 AM,7/31/2026 7:55 AM,,Alfonso Undurraga Bordeu,Gerardo Boetsch
SQM02,Instalación del Modelo de Business Partners e implementación GEC2021,SQM,Minería,Eficiencia operacional,"[""Francisco Hamilton"",""Honorino Landa"",""Martín Muñoz"",""Alejandra Loyola""]","[""Agentes de cambio"",""Alineamiento ejecutivo"",""Cultura organizacional"",""Integración"",""Liderazgo"",""Diagnostico"",""Plan de implementación"",""Capacitación"",""Desarrollo ejecutivo"",""Dinámica de equipo"",""DISC"",""Eficiencia"",""Engagement"",""Modelo operativo"",""Mejores practicas"",""Plan de gestión del cambio"",""Socio estratégico""]",José Miguel Berguño,VP Nitratos Yodo,10/11/2021,11/12/2021,Apoyar en la instalación del Modelo de BPs y en la implementación del GEC2021 para otorgar un servicio que maximice el valor agregado al negocio,/sites/Proyectos-TheHouse/Documentos compartidos/SQM/SQM02 - Instalación del Modelo de BPs e implemetación GEC2021,Josue Meneses,10/8/2024 11:42 AM,7/30/2026 3:43 PM,,Alejandra Loyola Schmidt,
SQM04,Hoja de ruta para las áreas de asuntos externos,SQM,Minería,Estrategia,"[""Christian Uauy"",""Jorge Vásquez"",""Martín Muñoz"",""Pablo Murillo"",""Alejandra Loyola"",""José Miguel Sepúlveda""]","[""Alineamiento ejecutivo"",""Plan de implementación"",""Prioridades estratégicas"",""Cultura organizacional"",""Iniciativas estratégicas"",""KPIs"",""Benchmark"",""Definiciones estratégicas"",""Diagnostico"",""Focos estratégicos"",""Implementación de sistemas"",""Mapeo de stakeholders"",""Mejores practicas"",""Planificación estratégica"",""Propósito"",""Roadmap""]",José Miguel Berguño,VP Senior Servicios Corporativos,3/3/2022,1/6/2022,"SQM necesitaba ganarse la licencia social para operar. Para ello había estructurado bajo un mismo líder a las áreas de asuntos externos, requiriendo de una estrategia que les permitiese establecer objetivos comunes y trabajar de forma más colaborativa",/sites/Proyectos-TheHouse/Documentos compartidos/SQM/SQM04 - Hoja de ruta para las áreas de asuntos externos,Josue Meneses,10/8/2024 11:42 AM,7/30/2026 3:45 PM,Constanza Aguilera,Pablo Murillo,
TAC01,Planificación estratégica Fundación Tacal,TACAL,Non-profit,Estrategia,"[""Pablo González"",""Soledad Libedinsky"",""Alejandra Loyola"",""Juan Diego Covarrubias""]","[""Definiciones estratégicas"",""Directorio"",""Planificación estratégica"",""Prioridades estratégicas"",""Seguimiento"",""Diagnostico"",""Focos estratégicos"",""Iniciativas estratégicas"",""Plan de comunicación"",""Plan de implementación"",""Roadmap"",""Propósito""]",Andrea Zondek,Fundadora / Directora,28/5/2019,8/8/2019,"Proyecto tradicional de planificación estratégica que contó con las siguientes actividades: diagnóstico, taller 1: titular del diario y prioridades estratégicas, taller 2: focos estratégicos e iniciativas, taller 3: elaboración roadmap de implementación",/sites/Proyectos-TheHouse/Documentos compartidos/TACAL/TAC01 - Planificación estratégica,Josue Meneses,10/8/2024 11:42 AM,7/30/2026 2:26 PM,,Alejandra Loyola Schmidt,
TEC01,Acompañamiento en la gestión del cambio,Teck,Minería,Gestión del cambio,"[""Alejandra Soto"",""Olivia Sanchez"",""Francisco Hamilton"",""Alejandra Loyola"",""Juan Diego Covarrubias"",""Benjamin Scarneo""]","[""Implementación de sistemas"",""Liderazgo"",""Onboarding"",""Plan de comunicación"",""Plan de gestión del cambio"",""Coaching"",""Dinámica de equipo"",""Equipos de alto desempeño"",""Benchmark"",""Cultura organizacional"",""Integración"",""Plan de implementación"",""Capacitación"",""Modelo de gobierno"",""Reclutamiento""]",Raffaella Greco,Gerente OCM,7/1/2019,10/4/2019,"En el marco del desarrollo del proyecto Quebrada Blanca 2, TheHouse acompañó a Teck Chile en el diseño e implementación de un plan de gestión del cambio, para enfrentar los desafíos de transformación de la organización, entre ellos la Automatización del n",/sites/Proyectos-TheHouse/Documentos compartidos/Teck/TEC01 - Change management,Josue Meneses,10/8/2024 11:42 AM,8/9/2026 3:41 PM,,Alejandra Loyola Schmidt,Joaquín López
VFC01,Plan de incorporación Socios,"Vergara, Fernandez, Costa y Claro ABOGADOS",Servicios profesionales,Sistema organizacional,"[""Alejandra Loyola"",""Ximena Concha"",""Vicente Loyola""]","[""Desarrollo de carrera"",""Cultura organizacional"",""Benchmark"",""Alineamiento ejecutivo"",""Modelo de talento"",""Estructura"",""Eneagrama""]",Gloria Claro,Socia,18/12/2018,4/2/2019,"Se trabajó con los Socios del Estudio de abogados V,F,C&C en un plan de desarrollo de carrera y en la posibilidad de incoporar nuevos Socios al estudio, con las ventajas y riesgos que ello podría implicar.","/sites/Proyectos-TheHouse/Documentos compartidos/Vergara, Fernandez, Costa y Claro ABOGADOS/VFC01 - Plan de Incorporación Socios",Josue Meneses,10/8/2024 11:42 AM,8/20/2026 7:16 AM,,Alejandra Loyola Schmidt,Florencia Santa Cruz
ALG01,Definiciones Estratégicas,Algramo,Non-profit,Estrategia,"[""Por Definir""]","[""Estrategia"","" Capacidades organizacionales"","" Propósito"","" Coordinación"","" Decisiones directivas"","" Comités"","" Profesionalización"","" Sustentabilidad"","" Modelo organizacional""]",Por Definir,,,,"El proyecto se enfocó en el desarrollo del equipo ejecutivo de Algramo, a través de un taller de coordinación organizacional. Se realizaron entrevistas en profundidad y se generó un diagnóstico de la situación actual de la empresa, identificando oportunidades de aprendizaje y consensuando el negocio base y las decisiones estratégicas.",/:f:/s/Proyectos-TheHouse/Em3GOc8bDtpGiF0GfneGYukB66OncZITmLdcTLiSLfiJjg?e=vje20m,Aldemar  Pinzón,12/10/2024 11:27 AM,2/17/2025 8:48 AM,,,
AMSA01,Plan 2015 GEO,AMSA,Minería,Gestión del cambio,"[""Por Definir""]","[""Gestión del cambio"","" Comunicación"","" Transformación organizacional"","" Efectividad organizacional"","" Mapa de riesgos"","" Sinergias"","" Liderazgo gerencial"","" Monitoreo de efectividad"","" Identidad organizacional""]",Por Definir,,,,"Se estableció un plan de implementación para la gestión del cambio en AMSA, con énfasis en la comunicación única y consistente, difusión de identidad y mapeo de recursos. Se implementó un dashboard para monitorear la efectividad de la transformación organizacional.",/:f:/s/Proyectos-TheHouse/Ev50CUWcOCpBgWKo_o7SHYsBRR46Y-kbyf8oyzpd3EFDyg?e=fxgjVI,Aldemar  Pinzón,12/10/2024 11:27 AM,2/17/2025 8:46 AM,,,
ANG01,Contratistas,Anglo American,Minería,Eficiencia operacional,"[""Por Definir""]","[""Contratistas"","" Estrategia de cambio"","" Gestión de riesgos"","" Relaciones laborales"","" Mediación"","" Seguridad industrial"","" Planificación estratégica"","" Comunicación interna"","" Gestión de crisis""]",Por Definir,,,,Se evaluó la situación actual de Anglo American respecto a contratistas y se diseñó un plan de implementación para abordar posibles ocupaciones ilegales en Los Bronces. Se identificaron stakeholders clave y se establecieron estrategias para mitigar riesgos y mejorar la gestión del cambio.,/:f:/s/Proyectos-TheHouse/EvdM1WBhlB1LunHp-6pDuMkBeh5MGOm_eWLtRbAhB-MB3w?e=VhP4f6,Aldemar  Pinzón,12/10/2024 11:27 AM,2/17/2025 8:46 AM,,,
ARA01,Planificación Estratégica,Arauco,RR Naturales,Estrategia,"[""Por Definir""]","[""Desarrollo de equipo ejecutivo"","" Definiciones estratégicas"","" Alineamiento ejecutivo"","" Estrategia"","" Visión"","" Competitividad"","" Prioridades estratégicas"","" Gestión de personas"","" Trabajo colaborativo""]",Por Definir,,,,"Definición de Focos Estratégicos para el Negocio de Celulosa y Energía en 2017, consensuando con el Equipo Ejecutivo un propósito común y actualizando metas. Se busca claridad en roles, alineamiento con Forestal y desarrollo de equipos de excelencia.",/sites/Proyectos-TheHouse/Documentos compartidos/Arauco/ARA01 - Planificación Estratégica,Josue Meneses,12/10/2024 11:27 AM,7/20/2026 7:28 AM,Mariana  Hernandez Eyquem,,
ARA02,Encuentro ejecutivo,Arauco,RR Naturales,Gestión del cambio,"[""Por Definir""]","[""Liderazgo"","" Valores corporativos"","" Reflexión"","" Trabajo en equipo"","" Compromiso"","" Cultura organizacional"","" Comunicación"","" Empoderamiento"","" Feedback""]",Por Definir,,,,"Diseño de una dinámica de valores para el encuentro ejecutivo de Arauco, enfocada en reflexionar sobre el liderazgo necesario y comprometer a los ejecutivos con los valores corporativos, buscando mejorar la comunicación y el trabajo en equipo.",/sites/Proyectos-TheHouse/Documentos compartidos/Arauco/ARA02 - Encuentro ejecutivo,Josue Meneses,12/10/2024 11:27 AM,7/20/2026 7:26 AM,Mariana  Hernandez Eyquem,,
ARA06,Focos estratégicos 2019,Arauco,RR Naturales,Estrategia,"[""Por Definir""]","[""Focos estratégicos"","" Equipo ejecutivo"","" Desarrollo de equipo"","" Prioridades estratégicas"","" Cultura organizacional"","" Medio ambiente"","" Gestión de riesgos"","" Control de costos"","" Mejora continua""]",Por Definir,,,,"El proyecto se enfoca en definir los focos estratégicos para el año 2019, incluyendo la incorporación de un nuevo foco de Medio ambiente. Se establecen prioridades estratégicas, iniciativas y metas para lograr resultados sustentables y de excelencia en el equipo ejecutivo.",/:f:/s/Proyectos-TheHouse/EqjbQGkMOpVOgWulH0IvWj0BE0gvdk7hQFgCx5g-bNw6nQ?e=ohIXbA,Aldemar  Pinzón,12/10/2024 11:28 AM,2/17/2025 8:38 AM,,,
ARA10,Planificación Gcia Abast,Arauco,RR Naturales,Estrategia,"[""Por Definir""]","[""Estrategia"","" Gerencia de Compras"","" Taller"","" Dinámica de equipo"","" Liderazgo"","" Mejores prácticas"","" Encuesta"","" Desafíos"","" Covid19""]",Por Definir,,,,Propuesta de colaboración para conducir el seguimiento y adaptación de la estrategia de la Gerencia de Compras. Se realizarán talleres y entrevistas para reflexionar sobre los aprendizajes y adaptar la estrategia a los nuevos desafíos.,/sites/Proyectos-TheHouse/Documentos compartidos/Arauco/ARA10 - Planificación Gcia Abast,Josue Meneses,12/10/2024 11:28 AM,8/20/2026 7:16 AM,Alfonso Undurraga Bordeu,,Florencia Santa Cruz
BEE01,Definiciones Estratégicas,Bee Patagon,Consumo masivo,Estrategia,"[""Por Definir""]","[""Proyecciones financieras"","" Mercado internacional"","" Exportaciones"","" Producto premium"","" Equipo especializado"","" Business Model Canvas"","" Tendencias de la industria"","" Capacidad de producción"","" Inversionistas""]",Por Definir,,,,"Se diseñó una estrategia para Bee Patagon que incluye proyecciones financieras, análisis del mercado internacional de la miel, desarrollo de un producto premium y la identificación de oportunidades de crecimiento. Se realizó un Business Model Canvas y se estableció contacto con potenciales inversionistas.",/:f:/s/Proyectos-TheHouse/Eq1-Px5p9J5Hqg4U7Elx444BM65Jme9Anv1v17trfj_dYQ?e=AV7y5r,Aldemar  Pinzón,12/10/2024 11:28 AM,2/17/2025 8:50 AM,,,
BHP01,Taller Asuntos Corporativos,BHP,Minería,Gestión del cambio,"[""Por Definir""]","[""Gestión del cambio"","" Plan de implementación"","" Análisis de riesgos"","" Comunicación estratégica"","" Liderazgo"","" Desarrollo de equipo"","" Relaciones con stakeholders"","" Evaluación de desempeño"","" Planificación estratégica""]",Por Definir,,,,"Se realizó un taller estratégico para analizar la experiencia de Samarco y definir planes de acción para abordar situaciones similares. Se identificaron gaps, roles y responsabilidades, y se establecieron compromisos para mejorar el desempeño del equipo.",/sites/Proyectos-TheHouse/Documentos compartidos/BHP/BHP01 - Taller Asuntos Corporativos,Josue Meneses,12/10/2024 11:28 AM,7/23/2026 6:43 AM,Pablo Murillo,,
BHP02,Estrategia y organización,BHP,Minería,Estrategia,"[""Por Definir""]","[""Estructura"","" Organigrama"","" Decisiones estratégicas"","" Coordinación"","" Comités"","" Gobierno"","" Relaciones laborales"","" Comunicaciones internas"","" Comunicaciones externas""]",Por Definir,,,,"Se diseñó un plan de implementación para la estructura organizacional de Corporate Affairs en Copper, incluyendo decisiones estratégicas, coordinación de comités y comunicaciones internas y externas.",/:f:/s/Proyectos-TheHouse/EgzrMofw9xxDvMANogUl15YB6IKJj-Wksc67SbsLtUXWQQ?e=kTgeKL,Aldemar  Pinzón,12/10/2024 11:28 AM,2/17/2025 8:50 AM,,,
BHP03,Cambio en estructura organizacional y accountabilities,BHP,Minería,Rediseño organizacional y gobernanza,"[""Por Definir""]","[""Comunicación de cambios organizacionales"","" Estructura organizacional"","" Roles y responsabilidades"","" Comunicación interna"","" Comunicación externa"","" Reorganización"","" Relaciones institucionales"","" Gestión de riesgos"","" Estrategia de negocio""]",Por Definir,,,,"Se diseñó una nueva estructura organizacional para CA Operations Americas, comunicando cambios en roles y responsabilidades, tanto interna como externamente, en un contexto de reorganización y gestión del cambio.",/:f:/s/Proyectos-TheHouse/EuFsPmc2V-ZPrykWESqDPWYBHzXtKwtPkHgKRiVYepfGPA?e=debjoK,Aldemar  Pinzón,12/10/2024 11:28 AM,2/17/2025 8:50 AM,,,
BHP04,Apoyo MCoE HR,BHP,Minería,Gestión del cambio,"[""Por Definir""]","[""HR Strategy"","" Recruitment Strategy"","" Redeployment/Redundancy Strategy"","" Training Strategy"","" Labour Relations Strategy"","" Shift Structure Approach"","" Employee Assistance Program"","" Employee Engagement"","" Organizational Change""]",Por Definir,,,,"Implementación del Maintenance Centre of Excellence en BHP Billiton para mejorar la ejecución del mantenimiento. Incluye estrategias de recursos humanos, comunicación, formación y gestión del cambio.",/sites/Proyectos-TheHouse/Documentos compartidos/BHP/BHP04 - Apoyo MCoE HR,Josue Meneses,12/10/2024 11:28 AM,7/20/2026 7:24 AM,Mariana  Hernandez Eyquem,,
BHP09,Taller Ingeniería,BHP,Minería,Gestión del cambio,"[""Por Definir""]","[""Capacidades Management"","" Stakeholders Management"","" Change Management"","" Coordinación"","" Comunicación"","" Roles"","" Planificación"","" Encuesta"","" Dinámica""]",Por Definir,,,,"Se realizó un taller de equipo con la función de Ingeniería para definir focos, mejorar interacciones y priorizar actividades. Se presentaron resultados de encuestas y entrevistas para reflexionar sobre la percepción del proyecto y se definieron lineamientos para Ingeniería hacia adelante.",/sites/Proyectos-TheHouse/Documentos compartidos/BHP/BHP09 - Taller Ingeniería,Josue Meneses,12/10/2024 11:28 AM,7/20/2026 7:25 AM,Alfonso Undurraga Bordeu,,
BHP14,Corporate Affairs Sierra Gorda,BHP,Minería,Estrategia,"[""Por Definir""]","[""Demandas sociales"","" Benchmark"","" Comunidades"","" Minería"","" Medioambiente"","" Evaluación integral"","" Escenarios estratégicos"","" Corporate Affairs"","" Relacionamiento comunitario"","" Social Value"","" Stakeholders"","" Riesgos"","" Estrategia de largo plazo"","" Relación con el gobierno"","" Entrevistas ejecutivas""]",Por Definir,,,,"Evaluación integral de escenarios estratégicos para Sierra Gorda en el sector minero, enfocándose en el impacto social y ambiental. Se busca potenciar la estrategia de valor social y mejorar el relacionamiento con las comunidades y stakeholders relevantes.",/:f:/s/Proyectos-TheHouse/Epc2AOSRIwhFkFUCbS0C1gIBghTEdnBfQvasOJnXoqYegA?e=dltFRH,Aldemar  Pinzón,12/10/2024 11:28 AM,2/17/2025 8:52 AM,,,
BHP15,Taller de equipo función Technology,BHP,Minería,Gestión del cambio,"[""Por Definir""]","[""Reconocimientos"","" Trabajo colaborativo"","" Comunicación"","" Resolución de conflictos"","" Desarrollo de la estrategia"","" Priorización"","" Reflexión personal"","" Actividad en grupos"","" Rotación entre grupos""]",Por Definir,,,,"Se desarrolló un plan de acción para potenciar la integración y colaboración entre el equipo de BHP RUN Technology, incluyendo instancias de reconocimiento, resolución de conflictos, comunicación efectiva y desarrollo de la estrategia.",/sites/Proyectos-TheHouse/Documentos compartidos/BHP/BHP15 - Taller de equipo función Technology,Josue Meneses,12/10/2024 11:28 AM,7/23/2026 6:56 AM,Joaquín López,,Joaquín López
BHP16,Impulsando una nueva forma de trabajar,BHP,Minería,Gestión del cambio,"[""Por Definir""]","[""Bienestar"","" Salud física"","" Salud mental"","" Trabajo remoto"","" Flexibilidad laboral"","" Implementación"","" Cambio organizacional"","" Recursos humanos"","" Liderazgo""]",Por Definir,,,,"Implementación de Ways of Working en BHP MinAm para estructurar el trabajo híbrido, mejorar la calidad de vida y aumentar el rendimiento de los equipos. Se proporcionan guías y herramientas para apoyar a líderes y equipos en la transición hacia un modelo de trabajo flexible y remoto.",/sites/Proyectos-TheHouse/Documentos compartidos/BHP/BHP16 - Impulsando una nueva forma de trabajar,Josue Meneses,12/10/2024 11:28 AM,8/20/2026 7:16 AM,Mariana  Hernandez Eyquem,,Florencia Santa Cruz
BHP17,Cierre de brechas BOS,BHP,Minería,Eficiencia operacional,"[""Por Definir""]","[""Desviación de costos"","" Control de costos"","" Implementación de procesos"","" Reunión de coordinación"","" Avance físico"","" Calendario de planificación"","" Sesión de aprendizaje"","" KPIs"","" Recomendaciones finales""]",Por Definir,,,,"Se implementó un plan de control de costos para reducir la desviación de costos en el proyecto de Tecnología de la empresa, incluyendo reuniones de coordinación y sesiones de aprendizaje para mejorar el avance físico y la calidad de los entregables.",/sites/Proyectos-TheHouse/Documentos compartidos/BHP/BHP17 - Cierre de brechas BOS,Josue Meneses,12/10/2024 11:28 AM,8/9/2026 3:39 PM,,,Joaquín López
BIC01,Búsqueda de oportunidades de eficiencia,BICE Vida,Servicios financieros,Eficiencia operacional,"[""Por Definir""]","[""Análisis comparativo"","" Benchmark"","" Seguros de Vida"","" Eficiencia en costos"","" Estructura de costos"","" Competidores"","" Rentabilidad"","" Gastos de administración"","" Resultados de intermediación""]",Por Definir,,,,Análisis de competitividad y eficiencia para BICE Vida en la industria de Seguros de Vida. Identificación de oportunidades de eficiencia a través de benchmarking y análisis comparativo de costos y competidores.,/:f:/s/Proyectos-TheHouse/Etu8Lvo1KDpNggrlwOav0tYBMDgZNV_Z-u5w8qC0FqF0zg?e=09GX4Z,Aldemar  Pinzón,12/10/2024 11:29 AM,2/17/2025 8:53 AM,,,
BIC02,Evaluación de modelos de negocio,BICE Vida,Servicios financieros,Estrategia,"[""Por Definir""]","[""Análisis de escenarios estratégicos"","" Rentas Vitalicias"","" Modelamiento financiero"","" Optimización de gastos"","" Competitividad"","" Estrategia de crecimiento"","" Tarificador de RRVV"","" Análisis de sensibilización"","" Utilidad neta""]",Por Definir,,,,"Análisis de escenarios estratégicos y modelamiento financiero para BICE Vida, enfocado en Rentas Vitalicias. Se diseñó un dashboard para optimizar gastos, mejorar competitividad y estrategia de crecimiento.",/:f:/s/Proyectos-TheHouse/IgAqjTUj0XJvQ6QNH7od6WOpAaNLz0OmzxE2_jtLJdddtSg?e=aVUOTv,María Fé Solís,12/10/2024 11:29 AM,6/12/2026 9:28 AM,,,
CAP02,Ajustes a la nueva estrategia,Capel,Consumo masivo,Estrategia,"[""Por Definir""]","[""Definiciones estratégicas"","" Plan de implementación"","" Estrategia corporativa"","" Transformación organizacional"","" Modelo de negocio"","" Prioridades estratégicas"","" Análisis de mercado"","" Competitividad"","" Gestión del cambio""]",Por Definir,,,,Se ajustó el plan estratégico de Cooperativa Capel para fortalecer su negocio base y adaptarse a los cambios generados por el deal de distribución con Coca Cola Andina. Se diseñó un plan de implementación al 2020 y se proyectaron los resultados del negocio para los próximos 5 años.,/:f:/s/Proyectos-TheHouse/ElWRET7Tr59CrIilv87ALNMBxDGCwtNzP33LYRMkZb4JYQ?e=u8nlxE,Aldemar  Pinzón,12/10/2024 11:29 AM,2/17/2025 8:54 AM,,,
CEN02,Op estructura de bonos,Antofagasta Minerals,Minería,Rediseño organizacional y gobernanza,"[""Por Definir""]","[""Bonos"","" Eficiencia operacional"","" Diseño organizacional"","" Consultoría estratégica"","" Minería"","" Gestión del cambio"","" Incentivos"","" Benchmark"","" Estrategia""]",Por Definir,,,,"Rediseño del sistema de bonos variables y prácticas operacionales en Minera Centinela para mejorar la eficiencia y alineación con los resultados de la compañía, a través de ajustes en la estructura de bonos y prácticas operacionales.",/:f:/s/Proyectos-TheHouse/ElsdQ6xaAjhKrXS6IWo42j0BkjrvKpPxVlIIPjVYtIgULw?e=uirFzg,Aldemar  Pinzón,12/10/2024 11:29 AM,2/17/2025 8:56 AM,,,
CENCO03,CencoFit 2024,Cencosud,Retail,Eficiencia operacional,"[""Por Definir""]","[""Ahorro estructural"","" Priorización de iniciativas"","" Reducción de costos"","" Optimización de procesos"","" Implementación de medidas"","" Análisis de oportunidades"","" Matriz de priorización"","" Eficiencia operacional"","" CencoFit""]",Por Definir,,,,"Análisis de SG&A para identificar oportunidades de ahorro estructurales en Cencosud. Plan de trabajo para discusión, presentaciones de ahorro, coordinación con líderes y evaluación de iniciativas para implementar medidas transformacionales.",/sites/Proyectos-TheHouse/Documentos compartidos/Cencosud/CENCO03 - CencoFit,Josue Meneses,12/10/2024 11:29 AM,7/20/2026 7:27 AM,Andrés Mercado,,
CHU01,STC Desarrollo PMCHS,Codelco División Chuquicamata,Minería,Estrategia,"[""Por Definir""]","[""Definiciones estratégicas"","" Plan de implementación"","" Desarrollo de equipo ejecutivo"","" Negociación colectiva"","" Sustentabilidad"","" Formación de equipo"","" Modelo organizacional"","" Gestión del cambio"","" Productividad""]",Por Definir,,,,"Se estableció un comité de Desarrollo Estratégico para el PMCHS en Codelco, enfocándose en definiciones estratégicas para la instalación de la minería subterránea. Se propuso un taller para redefinir el marco estratégico y se realizaron entrevistas con el equipo ejecutivo para abordar desafíos y compromisos del proyecto.",/:f:/s/Proyectos-TheHouse/EmgkOHX-PehPg4ENQRlSMiQBIp_EArtcUyQiJqjkxlC19A?e=YgVvKI,Aldemar  Pinzón,12/10/2024 11:29 AM,2/17/2025 8:58 AM,,,
CHU02,Diseño Organizacional,Codelco División Chuquicamata,Minería,Rediseño organizacional y gobernanza,"[""Por Definir""]","[""Gestión operacional"","" Dilemas"","" Recomendaciones"","" Plan de trabajo"","" Estructura organizacional"","" Transformación"","" Liderazgo"","" Capacidades requeridas"","" Modelo operativo""]",Por Definir,,,,"Se diseñó la estructura organizacional y se identificaron dilemas en la gestión operacional para la transformación de la División Chuquicamata, con recomendaciones y plan de trabajo para la implementación.",/:f:/s/Proyectos-TheHouse/Es7NUJ471ARPhbvtfLh923oBI0XjxjadjBqT0tSwDBQZog?e=IqZExz,Aldemar  Pinzón,12/10/2024 11:29 AM,2/17/2025 8:58 AM,,,
